name,icao,iata,country,callsign
BA Euroflyer,EFW,A0,,
easyJet Europe,EJU,EC,,
Eleron Aviation,ELE,,Russia,
Aero K,EOK,RF,,
Equus Flight,EQX,,Portugal,
Ernest Airlines,ERN,EG,,
East Air,ETJ,EG,,
Estelar,ETR,ES,,
EWA Air,EWR,ZD,,
Zest Airways,EZD,Z2,,
EZ Air,EZR,7Z,,
easyJet Switzerland,EZS,DS,,
Eagle Express Air Charter,EZX,9A,,
ETF Airways,EZZ,LI,,
FlyBosnia,FBS,6W,,
French Bee,FBU,BF,,
Flybondi,FBZ,FO,,
Southern Airways Express,FDY,9X,,
Far Eastern Air Transport,FEA,FE,,
Fly Georgia,FGE,9Y,,
FlexFlight,FGW,W2,Denmark,FLEXFLIGHT
Freebird Airlines Europe,FHM,MI,,
FlyOne Armenia,FIE,3F,,
Fiji Link,FJA,FJ,,
Fly Jinnah,FJL,9P,,
Fly Jordan,FJR,F0,,
Fastjet Zimbabwe,FJW,FN,,
Fly Montserrat,FMI,5M,Montserrat,
Sky Mali,FML,ML,,
FlyOne Romania,FOE,OE,,
Level,FOO,VK,,
Air Falcon,FPK,,,
Quikjet Cargo Airlines,FQA,QO,,
ACE Belgium Freighters,FRH,X7,,
FlyTor,FTO,,Spain,
Fly 540 Tanzania,FTZ,,,
GullivAir,GBG,G2,,
Gambia Bird,GBQ,3G,,
CargoLogic Germany,GCL,,,
Geo Sky,GEL,D4,,
Airhub Airlines,GJM,,,
GP Aviation,GPX,IV,,
Phoenix Air Group,GRB,PH,,
Costa Rica Green Airways,GW,GW,,
Green Africa Airways,GWG,Q9,,
Holiday Europe,HES,5Q,,
Hi Fly Malta,HFM,3L,,
Greater Bay Airlines,HGB,HB,,
Hi Air,HGG,4H,,
One Air,HGO,HC,,
Intel Air Shuttle,HGT,,,
Himalaya Airlines,HIM,H9,,
Hong Kong Air Cargo,HKC,RH,,
Hello Jets,HLJ,H3,,
Honda Aircraft,HND,,United States,
Air France Hop,HOP,A5,,
Hong Kong Air Cargo,HPK,RH,Hong Kong,
HiSky Europe,HYS,H4,,
YTO Cargo Airlines,HYT,YG,,
Cargolux Italia,ICV,C8,,
Georgian Airlines,IGT,GH,,
Intairline,ITI,,,
ITA Airways,ITY,AZ,,
JetSMART Perú,JAP,JZ,,
JD Airlines,JDL,JG,,
JetKonnect,JLL,,,
Jambojet Limited,JMA,JM,,
Business Wings,JMP,,,
Jota Aviation,JOC,,United Kingdom,JOTA
JSX,JSX,XE,,
Jettime,JTD,,,
Jettime Finland,JTF,JO,,
9 Air,JYH,AQ,,
CemAir,KEM,5Z,,
Cambodia Angkor Air,KHV,K6,,
Kalitta Charters II,KII,CB,,
Cambodia Airways,KME,KR,,
Air Connect,KON,KS,,
Karun Airlines,KRU,NV,,
MJets Air,KXP,WW,,
Sky Lease Cargo,KYE,GG,,
LAN Cargo,LAE,L7,,
Lauda Motion (Amira Air),LDM,,,
Longhao Airlines,LHA,GI,,
Lufthansa City Airlines,LHX,VL,,
Al Jaber Aviation,LJB,,,
LifeStar,LSJ,,Australia,
LATAM Cargo Brasil,LTG,M3,,
Libyan Wings,LWA,,,
Luxwing,LWG,BN,,
Lumiwings,LWI,L9,,
Marabu Airlines,MBU,DI,,
Avianca Argentina,MCJ,A0,,
Mega Maldives,MEG,LV,,
Med-View Airline,MEV,VL,,
My Freighter,MFX,C6,,
Mavi Gok Aviation,MGH,4M,,
Lanmei Airlines,MKR,LQ,,
ComLux Malta,MLM,,,
Maleth-Aero,MLT,DB,,
Myanmar Airways International,MMA,8M,,
Hunnu Air,MML,MR,,
Malta MedAir,MMO,MM,,
Elite Airways,MNU,,,
Meraj Airlines,MRJ,JI,,
SkyJet Airlines,MSJ,M8,,
MASwings,MWG,MH,,
Maximus Airlines,MXM,6M,,
Breeze Airways,MXY,MX,,
Maya Island Air,MYM,MY,Belize,MYLAND
My Indo Airlines,MYU,2Y,,
SmartLynx Airlines Estonia,MYX,,,
Norfolk Air,N5,N5,,
North Coast Aviation,N9,N9,,
North American Airlines,NAO,NA,,
Norse Atlantic Airways,NBT,N0,,
NokScoot,NCT,XW,,
My Jet Xpress Airlines,NEP,N7,,
Max Air,NGL,VM,,
LEAV Aviation,NGN,KK,,
Armenia Aircompany,NGT,RM,,
New Livingston S.p.A,NLV,JN,,
Norwegian Air Shuttle,NOZ,DY,,
Norwegian Air Sweden,NSZ,D8,,
North-West Air Company,NWC,0E,,
Network Aviation,NWK,QF,,
NyxAir,NYX,,,
ART Aviation,OES,,,
Air Travel,OTC,A6,,
Owenair,OWE,,,
Fly Oya,OYA,YI,,
Pel-Air,PFY,QH,,
Peregrine Air,PGN,,Australia,
Premium Jet,PJZ,,,
MBK-S,PLG,,,
Primera Air Nordic,PRW,PF,,
Prescott,PSK,PM,,
Peruvian Airlines,PVN,P9,,
QantasLink AI,QAI,,Australia,
Qazaq Air,QAZ,IQ,,
Qingdao Airlines,QDA,QW,,
Qeshm Air,QHD,,Iran,
QantasLink / National Jet Systems,QJE,QF,,
QantasLink,QLK,QF,,
Qeshm Airlines,QSM,QB,,
Regent Airways,RGE,,,
Rio Linhas Aéreas,RIO,RL,,
Ruili Airlines,RLH,DR,,
Raya Airways,RMY,TH,,
Red Sea Airlines,RSX,4S,,
Ryanair UK,RUK,RK,,
Ravn Alaska,RVF,7H,,
SprintAir Cargo,SAR,,,
Star Air,SDG,OG,,
SereneAir,SEP,ER,,
SaudiGulf Airlines,SGQ,6S,,
Sharp Airlines,SH,SH,,
Sideral Linhas Aéreas,SID,,,
Air Sial,SIF,PF,,
Super Air Jet,SJV,IU,,
STARLUX Airlines,SJX,JX,,
SkyLink Express,SLQ,,,
SkyUp Airlines,SQP,,,
KrasAvia,SSJ,KI,,
Siavia,SVB,,,
SunExpress Germany,SXD,XG,,
Air Senegal,SZN,HC,,
SAS Connect,SZS,SL,,
Avianca El Salvador,TAI,TA,,
Tsaradia,TDS,TZ,,
Toll Aviation,TFR,,,
Team Global Express,TFX,,,
Tigerair Australia,TGG,TT,,
Tayran Jet,TJB,,,
GullivAir,TJJ,G2,,
AJet,TKJ,VF,,
Starlink Aviation,TLK,Q4,,
Tasman Cargo Airlines,TMN,HJ,,
Tarco Aviation,TQQ,3T,,
Tigerair Taiwan,TTW,IT,,
Smartwings Poland,TVP,3Z,,
Smartwings Slovakia,TVQ,6D,,
Air-Taxi Europe,TWG,,,
Tailwind Airlines,TWI,TI,,
Solairus Aviation,TWY,,,
Nordstar Airlines,TYA,Y7,,
ZIPAIR Tokyo,TZP,ZG,,
The Cargo Airlines,TZS,,,
Bees Airline,UBE,,,
Norse Atlantic Airways UK,UBT,Z0,,
Uniworld Air Cargo,UCG,U7,,
Uganda Airlines,UGD,UR,,
European Cargo,URO,SE,,
Silk Road Cargo Business,URS,S9,,
USC,USY,XG,,
Uni-Top Airlines,UTP,UW,,
Panorama Airways,UZP,5P,,
Fly2Sky,VAW,F6,,
ALK Airlines,VBB,,,
Sabaidee Airways,VGO,,,
Volaris Costa Rica,VOC,Q6,,
Viva Air Perú,VPE,VV,,
Varesh Airlines,VRH,,,
Turpial Airlines,VTU,T9,,
Wataniya Airways,WAN,KW,,
Wizz Air Abu Dhabi,WAZ,5W,United Arab Emirates,WIZZ SKY
World Cargo Airlines,WCM,3G,,
World2Fly,WFL,2W,,
Western Global Airlines,WGN,KD,,
Westjet Encore,WJE,,,
Westline Aviation,WLM,,Nigeria,
Wamos Air,WMA,EB,Spain,WAMOS
Wizz Air Malta,WMT,W4,,
WestJet Encore,WSN,WR,Canada,ENCORE
Wizz Air UK,WSW,W9,United Kingdom,WIZZ GO
Wizz Air UK,WUK,W9,,
XL Airways France,XLF,SE,,
Express Air Cargo,XRC,7A,,
