locode,name,country_code,function,lat,lon,status
BMFPT,Freeport,BM,1-------,,,QQ
BMBDA,Hamilton,BM,1--45---,,,AI
BMHBI,Harbour Island,BM,1-------,25.5,-76.6333,RL
BMKWF,Kings Wharf,BM,1-3-----,,,RQ
BMSGE,Saint George,BM,1-------,32.3833,-64.6833,RL
BMSAN,Sandys,BM,1-------,32.3,-64.8667,RL
BMSOU,Southampton,BM,1-------,32.25,-64.85,RL
BNBWN,Bandar Seri Begawan,BN,1-345---,4.8833,114.9333,AI
BNKUB,Kuala Belait,BN,1--4----,,,AI
BNLUM,Lumut,BN,1-------,,,QQ
BNMUA,Muara,BN,1-------,,,QQ
BNSER,Seria,BN,1-------,,,QQ
BNTAS,Tanjong Salirong,BN,1-------,,,RQ
BOCPB,Copacabana,BO,1-3-----,-16.15,-69.0833,AC
BOGUQ,Guaqui,BO,1-3-----,-16.5833,-68.8667,AI
BOHTJ,Huatajata,BO,1-3-----,-16.1667,-68.7333,RL
BOPBU,Puerto Busch,BO,1-3-----,-20.0333,-57.9667,AI
BOPTC,Puerto Carabuco,BO,1-3-----,-15.75,-69.0667,RQ
BOPPR,Puerto PÃ©rez,BO,1-3-----,-16.2667,-68.6333,AC
BOQJR,Puerto Quijarro,BO,1-3-----,-17.7833,-57.7667,AI
BOPUR,Puerto Rico,BO,1-34----,-11.0833,-67.6333,RL
BOPSZ,Puerto SuÃ¡rez,BO,1--4----,-18.95,-57.8,AI
BORIB,Riberalta,BO,1-34----,-10.9833,-66.1,AI
BORBQ,Rurrenabaque,BO,1-34----,-14.4667,-67.5667,AI
BOTDD,Trinidad,BO,1-34----,-14.8333,-64.9,AI
BQBON,Bonaire,BQ,1--45---,12.1167,-68.2667,AI
BQRIN,Dorp RincÃ³n,BQ,1-3-----,12.2333,-68.3333,RL
BQGOT,Goto,BQ,1-------,12.2167,-68.3833,RL
BQKRA,Kralendijk,BQ,1-------,12.15,-68.2667,AI
BQSAB,Saba,BQ,1--45---,17.6333,-63.2333,AI
BQEUX,Sint Eustatius,BQ,1--45---,17.4833,-62.9667,AI
BRAAR,AcarÃ¡,BR,1-3-----,-1.95,-48.2,AA
BRACX,AÃ§u Pt / SÃ£o JoÃ£o da Barra,BR,1-------,-21.8167,-41.0167,AA
BRAFU,AfuÃ¡,BR,1-3-----,-0.15,-50.3833,AA
BRACT,AlcÃ¢ntara,BR,1-3-----,-2.4,-44.4167,AA
BRALT,Alenquer,BR,1-34----,-1.95,-54.7333,AA
BRAMM,Almeirim,BR,1-34----,-1.5167,-52.5667,AA
BRATM,Altamira,BR,1-34----,-3.2,-52.2,AA
BRANA,Ananindeua,BR,1-3-----,-1.3667,-48.3667,AA
BRADR,Angra dos Reis,BR,1-34-6--,-23.0,-44.3167,AA
BRANH,Anhembi,BR,1-3-----,-22.7833,-48.1167,AA
BRANT,Antonina,BR,1-3-----,-25.4167,-48.7,AA
BRAJU,Aracaju,BR,1-34----,-10.9,-37.0333,AA
BRARU,AraÃ§atuba,BR,1-34----,-21.2,-50.4333,AA
BRRGC,Araguacema,BR,1-3-----,-8.8,-49.55,AA
BRANS,Araguatins,BR,1-34----,-5.65,-48.1167,AA
BRARB,Aratu Pt / Candeias,BR,12------,-12.7833,-38.5,AA
BRARE,Areia Branca,BR,1-3-----,-4.95,-37.1167,AA
BRABZ,ArmaÃ§Ã£o dos BÃºzios,BR,1-3-----,-22.75,-41.8833,AA
BRAUN,AruanÃ£,BR,1-34----,-14.9,-51.0667,AA
BRAUS,Autazes,BR,1-3-----,-3.5667,-59.1333,AA
BRBCE,Bacabeira,BR,123-----,-2.9833,-44.3,AA
BRBAC,BalneÃ¡rio CamboriÃº,BR,1-3-----,-26.9833,-48.6333,AA
BRBSS,Balsas,BR,1-34----,-7.5167,-46.0333,AA
BRBAZ,Barcelos,BR,1-34----,-0.9667,-62.9167,AA
BRBIR,Bariri,BR,1-34----,-22.0667,-48.7333,AA
BRBQQ,Barra,BR,1-34----,-11.0833,-43.1333,AA
BRRCH,Barra do Riacho Pt / Aracruz,BR,12------,-19.85,-40.0333,AA
BRBAR,Barra dos Coqueiros,BR,1-3-----,-10.9,-37.0333,AA
BRBEA,Barreirinha,BR,1-3-----,-2.7833,-57.0667,AA
BRBEL,BelÃ©m,BR,1-34-6--,-1.45,-48.4833,AA
BRBLE,Belmonte,BR,1-3-----,-15.85,-38.8667,AA
BRBVI,Benevides,BR,1-3-----,-1.35,-48.2333,AA
BRBCT,Benjamin Constant,BR,1-3-----,-4.3667,-70.0167,AA
BRBEI,Beruri,BR,1-3-----,-3.8833,-61.3667,AA
BRBVR,Boa Vista do Ramos,BR,1-3-----,-2.9667,-57.5833,AA
BRBOB,Borba,BR,1-34----,-4.3833,-59.5833,AA
BRBVS,Breves,BR,1-34----,-1.6833,-50.4667,AA
BRCDO,Cabedelo Pt / JoÃ£o Pessoa,BR,1-------,-6.9667,-34.8333,AA
BRCFO,Cabo Frio,BR,1-34----,-22.8667,-42.0167,AA
BRCCX,CÃ¡ceres,BR,1-34-6--,-16.0667,-57.6667,AA
BRCHI,Cachoeira do Arari,BR,1-3-----,-1.0,-48.95,AA
BRCPR,Cachoeira do PiriÃ¡,BR,1-3-----,-1.75,-46.5333,AA
BRCSL,Cachoeira do Sul,BR,1-34----,-30.0333,-52.8833,AA
BRCMA,CametÃ¡,BR,1-3-----,-2.2333,-49.4833,AA
BRCGZ,Campos dos Goytacazes,BR,1-34----,-21.75,-41.3167,AA
BRCAN,Canoas,BR,123--6--,-29.9167,-51.1667,AA
BRCTM,Canutama,BR,1-3-----,-6.5167,-64.3833,AA
BRCCY,CaracaraÃ­,BR,1-3-----,1.8,-61.1333,AA
BRCRY,Carauari,BR,1-34----,-4.8667,-66.8833,AA
BRCRL,Caravelas,BR,1-34----,-17.7333,-39.25,AA
BRCVZ,Careiro da VÃ¡rzea,BR,1-3-----,-3.1833,-59.8167,AA
BRCLN,Carolina,BR,1-34----,-7.3167,-47.4667,AA
BRCQD,Charqueadas,BR,1-3-----,-29.95,-51.6167,AA
BRCHE,Chaves,BR,1-3-----,-0.15,-49.9833,AA
BRCAR,Coari,BR,1-34----,-4.0833,-63.1333,AA
BRCDA,CodajÃ¡s,BR,1-3-----,-3.8333,-62.05,AA
BRCGA,ConceiÃ§Ã£o do Araguaia,BR,1-34----,-8.25,-49.25,AA
BRCCS,Conchas,BR,1-3-----,-23.0,-48.0,AA
BRCMG,CorumbÃ¡,BR,1234-6--,-19.0,-57.6333,AA
BRCZS,Cruzeiro do Sul,BR,1-34----,-7.6167,-72.6667,AA
BRCUO,CubatÃ£o,BR,123--6--,-23.8833,-46.4167,AA
BRDCS,Duque de Caxias,BR,1-3--6--,-22.7833,-43.3,AA
BRERN,EirunepÃ©,BR,1-34----,-6.6667,-69.85,AA
BRETA,Estrela,BR,1-34----,-29.5,-51.9667,AA
BRFEN,Fernando de Noronha,BR,1--4----,-3.85,-32.4333,AA
BRFBA,Fonte Boa,BR,1-3-----,-2.5,-66.0833,AA
BRFNO,Forno Pt / Arraial do Cabo,BR,1-------,-22.9667,-42.0167,AA
BRFOR,Fortaleza,BR,1234----,-3.7167,-38.5833,AA
BRIGU,Foz do IguaÃ§u,BR,1-34-6--,-25.5333,-54.5833,AA
BRGNS,Galinhos,BR,1-3-----,-5.0833,-36.2667,AA
BRGIB,GuaÃ­ba,BR,1-3-----,-30.1,-51.3,AA
BRGIA,GuaÃ­ra,BR,1-34-6--,-24.0833,-54.2333,AA
BRGJR,GuajarÃ¡,BR,1-3-----,-7.5333,-72.5667,AA
BRGJM,GuajarÃ¡-Mirim,BR,1-3--6--,-10.7667,-65.3167,AA
BRGUA,GuamarÃ©,BR,1-3-----,-5.1,-36.3167,AA
BRGUJ,GuarujÃ¡,BR,123--6--,-23.9833,-46.2333,AA
BRGRP,GurupÃ¡,BR,1-3-----,-1.4,-51.6333,AA
BRHMA,HumaitÃ¡,BR,1-34----,-7.5,-63.0167,AA
BRIBT,Ibotirama,BR,1-34----,-12.1833,-43.2167,AA
BRISA,Ilha Solteira,BR,1-3-----,-20.4167,-51.3333,AA
BRIBE,Ilhabela,BR,1-3-----,-23.7833,-45.35,AA
BRIOS,IlhÃ©us,BR,1-34----,-14.7833,-39.0333,AA
BRIBB,Imbituba,BR,123-----,-28.2333,-48.6667,AA
BRIMP,Imperatriz,BR,1234----,-5.5167,-47.4667,AA
BRIXA,Ipixuna,BR,1-3-----,-7.05,-71.6833,AA
BRIRB,Iranduba,BR,1-3-----,-3.2667,-60.1833,AA
BRIAR,Itacoatiara,BR,1-34----,-3.1333,-58.4333,AA
BRSPB,ItaguaÃ­ Pt = Sepetiba Pt,BR,12------,-22.8667,-43.7667,AA
BRITB,Itaituba,BR,1-34----,-4.25,-55.9833,AA
BRITJ,ItajaÃ­,BR,1-3--6--,-26.9,-48.65,AA
BRYTR,Itamarati,BR,1-3-----,-6.4333,-68.2333,AA
BRIIM,Itapemirim,BR,1-3-----,-21.0,-40.8333,AA
BRIPG,Itapiranga,BR,1-3-----,-2.7333,-58.0333,AA
BRIOA,ItapoÃ¡,BR,1-3-----,-26.0,-48.6,AA
BRITQ,Itaqui,BR,1-3-----,-29.1167,-56.55,AA
BRIQI,Itaqui Pt / SÃ£o LuÃ­s,BR,12------,-2.5667,-44.3667,AA
BRJAG,JaguarÃ£o,BR,1-3--6--,-32.55,-53.3667,AA
BRJAU,JaÃº,BR,123-----,-22.2833,-48.55,AA
BRJZO,Juazeiro,BR,1-3-----,-9.4,-40.5,AA
BRJUR,Juruti,BR,1-3-----,-2.15,-56.0833,AA
BRLDR,LadÃ¡rio,BR,123-----,-19.0,-57.6,AA
BRLJI,Laranjal do Jari,BR,1-3-----,-0.85,-52.5333,AA
BRLRS,Linhares,BR,1-34----,-19.3833,-40.05,AA
BRMEA,MacaÃ©,BR,1-34----,-22.3667,-41.7667,AA
BRMCU,Macau,BR,1-3-----,-5.1,-36.6333,AA
BRMCZ,MaceiÃ³,BR,1-34----,-9.65,-35.7,AA
BRMDD,Madre de Deus,BR,1-3-----,-12.7333,-38.6,AA
BRMPR,Manacapuru,BR,1-3-----,-3.2833,-60.6167,AA
BRMQR,Manaquiri,BR,1-3-----,-3.4167,-60.45,AA
BRMAO,Manaus,BR,1-3456--,-3.1333,-60.0167,AA
BRMGT,Mangaratiba,BR,123-----,-22.95,-44.0333,AA
BRMNX,ManicorÃ©,BR,1-34----,-5.8,-61.2833,AA
BRMAB,MarabÃ¡,BR,1234----,-5.35,-49.1333,AA
BRMAR,Maragogipe,BR,1-3-----,-12.7667,-38.9167,AA
BRMRC,MaricÃ¡,BR,1-34----,-22.9167,-42.8167,AA
BRMAS,MauÃ©s,BR,1-34----,-3.3833,-57.7,AA
BRMOU,Moju,BR,1-3-----,-1.8833,-48.7667,AA
BRMTE,Monte Alegre,BR,1-34----,-2.0,-54.0667,AA
BRMOS,MossorÃ³,BR,1-34----,-5.1833,-37.35,AA
BRMNV,Mundo Novo,BR,1-3--6--,-23.9333,-54.2667,AA
BRNAT,Natal,BR,1-34----,-5.75,-35.25,AA
BRNVT,Navegantes,BR,1-34----,-26.8833,-48.6333,AA
BRNAA,NhamundÃ¡,BR,1-3-----,-2.1833,-56.7167,AA
BRNTR,NiterÃ³i,BR,1-3-----,-22.8833,-43.0667,AA
BRNON,Nova Olinda do Norte,BR,1-3-----,-3.8833,-59.0833,AA
BRNAO,Novo AirÃ£o,BR,1-3-----,-2.6167,-60.9333,AA
BRNVP,Novo AripuanÃ£,BR,1-3-----,-5.1167,-60.3667,AA
BROBI,Ãbidos,BR,1-34----,-1.9,-55.5,AA
BRORX,OriximinÃ¡,BR,1-34----,-1.75,-55.85,AA
BRPNX,Panorama,BR,1-3-----,-21.35,-51.85,AA
BRPRU,Paracuru,BR,1-3-----,-3.4,-39.0167,AA
BRPNG,ParanaguÃ¡,BR,1234-6--,-25.5,-48.5167,AA
BRPIN,Parintins,BR,1-34----,-2.6167,-56.7333,AA
BRPBD,Pato Bragado,BR,1-3-----,-24.6167,-54.2167,AA
BRPEC,PecÃ©m Pt / SÃ£o GonÃ§alo do Amarante,BR,12------,-3.5167,-38.8667,AA
BRPNS,Pederneiras,BR,1234----,-22.35,-48.7667,AA
BRPET,Pelotas,BR,1-34----,-31.7167,-52.3333,AA
BRPNZ,Petrolina,BR,1-34----,-9.3833,-40.4833,AA
BRPIP,Pirapora,BR,1234----,-17.3333,-44.95,AA
BRPMA,Ponta da Madeira Pt / SÃ£o LuÃ­s,BR,12------,-2.5333,-44.35,AA
BRPOU,Ponta do Ubu Pt / Anchieta,BR,1-------,-20.7667,-40.5667,AA
BRPPN,Pontal do ParanÃ¡,BR,1-3-----,-25.5833,-48.4333,AA
BRPOL,Portel,BR,1-3-----,-1.9333,-50.8167,AA
BRPWA,Porto Acre,BR,1-3-----,-9.6,-67.5333,AA
BRPOA,Porto Alegre,BR,1-34----,-30.0167,-51.2167,AA
BRPBO,Porto Belo,BR,1-3-----,-27.1333,-48.6,AA
BRPDM,Porto de Moz,BR,1-34----,-1.7333,-52.2333,AA
BRPMH,Porto Murtinho,BR,1-3--6--,-21.7,-57.8833,AA
BRTMT,Porto Trombetas / OriximinÃ¡,BR,1--4----,-1.4667,-56.3833,AA
BRPVH,Porto Velho,BR,1-34----,-8.7667,-63.8167,AA
BRPWR,Porto Walter,BR,1-3-----,-8.25,-72.7333,AA
BRPRM,Praia Mole Pt / VitÃ³ria,BR,1-------,-20.3,-40.2167,AA
BRNOR,Praia Norte,BR,1-3-----,-5.3833,-47.8,AA
BRPRH,Prainha,BR,1-3-----,-1.8,-53.4667,AA
BRPEO,Presidente EpitÃ¡cio,BR,1-34----,-21.7667,-52.1,AA
BRPKY,Presidente Kennedy,BR,1-3-----,-21.1,-41.05,AA
BRREC,Recife,BR,1-34-6--,-8.05,-34.8833,AA
BRRBR,Rio Branco,BR,1-34----,-9.9667,-67.8,AA
BRRIO,Rio de Janeiro,BR,1234567-,-22.8667,-43.2167,AA
BRRIG,Rio Grande,BR,1234-6--,-32.05,-52.0833,AA
BRRPO,Rio Pardo,BR,1-3-----,-29.9833,-52.3667,AA
BRSSA,Salvador,BR,1-34-6--,-13.0,-38.4833,AA
BRSLV,Salvaterra,BR,1-3-----,-0.75,-48.5,AA
BRSNH,Santa Helena,BR,1-3-----,-24.85,-54.3333,AA
BRSIR,Santa Isabel do Rio Negro,BR,1-34----,-0.4167,-65.0167,AA
BRSSR,Santa Maria da Serra,BR,1-3-----,-22.5667,-48.15,AA
BRSTU,Santa Terezinha de Itaipu,BR,1-3-----,-25.4333,-54.3833,AA
BRSVP,Santa VitÃ³ria do Palmar,BR,1-3-----,-33.5167,-53.3667,AA
BRMCP,Santana Pt / MacapÃ¡,BR,1-------,-0.05,-51.1667,AA
BRSTM,SantarÃ©m,BR,1-34-6--,-2.4333,-54.7167,AA
BRSSZ,Santos,BR,123--6--,-23.9333,-46.3167,AA
BRSFS,SÃ£o Francisco do Sul,BR,1234-6--,-26.2333,-48.6333,AA
BRSGO,SÃ£o GonÃ§alo,BR,1-3-----,-22.8167,-43.0167,AA
BRSMS,SÃ£o Mateus,BR,1-34----,-18.7167,-39.85,AA
BRSGM,SÃ£o Miguel do GuamÃ¡,BR,1-3-----,-1.6167,-47.4667,AA
BRSPV,SÃ£o Paulo de OlivenÃ§a,BR,1-3-----,-3.45,-68.9333,AA
BRSPD,SÃ£o Pedro,BR,1-34----,-22.5333,-47.9,AA
BRSSO,SÃ£o SebastiÃ£o,BR,1-3--6--,-23.8,-45.4,AA
BRSSB,SÃ£o SebastiÃ£o do UatumÃ£,BR,1-3-----,-2.5667,-57.8667,AA
BRSSI,SÃ£o SimÃ£o,BR,1-3-----,-18.9833,-50.5333,AA
BRSEF,Senador JosÃ© PorfÃ­rio,BR,1-3-----,-2.5833,-51.95,AA
BRSER,Serra,BR,123-----,-20.15,-40.2667,AA
BRSUE,Soure,BR,1-3-----,-0.7167,-48.5,AA
BRSUA,Suape Pt / Ipojuca,BR,1-------,-8.4,-34.9667,AA
BRTBT,Tabatinga,BR,1-34-6--,-4.2167,-69.9333,AA
BRTLD,TailÃ¢ndia,BR,1-3-----,-2.9333,-48.95,AA
BRTPW,TapauÃ¡,BR,1-3-----,-5.6167,-63.1833,AA
BRTAQ,Taquari,BR,1-3-----,-29.8,-51.85,AA
BRTFF,TefÃ©,BR,1-34----,-3.3333,-64.7,AA
BRTRO,Terra Roxa,BR,1-3-----,-24.1667,-54.0833,AA
BRTST,Terra Santa,BR,1-34----,-2.1,-56.4833,AA
BRTNS,Tonantins,BR,1-3-----,-2.85,-67.7667,AA
BRTRM,TramandaÃ­,BR,1-3-----,-29.9833,-50.1167,AA
BRTLG,TrÃªs Lagoas,BR,1-34----,-20.7833,-51.7,AA
BRTFO,Triunfo,BR,1-3-----,-29.9333,-51.7,AA
BRTUB,TubarÃ£o Pt / VitÃ³ria,BR,12------,-20.2667,-40.2167,AA
BRUBT,Ubatuba,BR,1-34----,-23.4333,-45.0667,AA
BRURT,Urucurituba,BR,1-3-----,-3.1333,-58.15,AA
BRVGR,VÃ¡rzea Grande,BR,1-3-----,-15.65,-56.1333,AA
BRVIE,Vila Bela da SantÃ­ssima Trindade,BR,1-3-----,-15.0,-59.95,AA
BRVDC,Vila do Conde Pt / Barcarena,BR,1-------,-1.5167,-48.7167,AA
BRVVE,Vila Velha,BR,1-3--6--,-20.3333,-40.2833,AA
BRVIX,VitÃ³ria,BR,1234-6--,-20.3167,-40.3167,AA
BRVDX,VitÃ³ria do Xingu,BR,1-3-----,-2.8833,-52.0,AA
BRXAA,XambioÃ¡,BR,1-3-----,-6.4,-48.5167,AA
BRXQI,Xique-Xique,BR,1-34----,-10.8167,-42.7167,AA
BSASD,"Andros Town, Andros Island",BS,1--4----,,,AI
BSBKC,Bock Cay,BS,1-------,23.8167,-76.1667,RL
BSCEL,Cape Eleuthera,BS,1--4----,24.8167,-76.35,AI
BSCCZ,"Chub Cay, Berry Islands",BS,1--4----,,,AI
BSCLP,Clifton Point,BS,1-------,25.0,-77.5333,RQ
BSCBT,Cockburn Town,BS,1-------,24.0333,-74.5167,RQ
BSCOX,Congo Town,BS,1--4----,24.15,-77.5333,AI
BSCRI,Crooked Island,BS,1--4----,,,AI
BSELE,Eleuthera Island,BS,1-------,,,RQ
BSFPO,"Freeport, Grand Bahama",BS,1--4----,,,AI
BSGGT,"George Town, Great Exuma Island",BS,1--4----,,,AI
BSGOC,Gorda Cay,BS,1-------,26.0833,-77.5333,RL
BSGHB,"Governors Harbour, Eleuthera",BS,1--4----,,,AI
BSEXU,Great Exuma Island,BS,1-------,23.5333,-75.8333,RL
BSGHC,Great Harbour Cay,BS,1--4----,25.75,-77.8333,AI
BSGSC,Great Stirrup Cay,BS,1-------,25.8333,-77.9,RQ
BSGTC,Green Turtle Cay,BS,1--4----,26.75,-77.3333,AI
BSHBI,Harbour Island,BS,1--4----,25.5,-76.6333,AI
BSIGA,Inagua,BS,1--4----,,,AI
BSHMC,Little San Salvador,BS,1-------,24.5833,-75.9167,RL
BSCOC,Little Stirrup Cay,BS,1-------,25.8167,-77.9333,RQ
BSLUC,Lucaya,BS,1-------,26.5167,-78.6333,RQ
BSMHH,Marsh Harbour,BS,1--4----,26.5333,-76.9667,AI
BSMAT,Matthew Town,BS,1-------,,,RQ
BSMYG,Mayaguana Island,BS,1--4----,,,AI
BSNAS,Nassau,BS,1--45---,25.0833,-77.35,AI
BSOCE,Ocean Cay,BS,1-------,,,RQ
BSRSD,Rock Sound,BS,1--4----,24.9,-76.2,AI
BSSAQ,San Andros,BS,1--4----,25.0667,-78.05,AI
BSZSA,San Salvador Island,BS,1--4----,,,AI
BSSRP,South Riding Point,BS,1-------,,,RQ
BSSML,Stella Maris,BS,1--4----,23.6,-75.3,AI
BSTBI,The Bight,BS,1--4----,24.3167,-75.4,AI
BSTCB,"Treasure Cay, Great Abaco Island",BS,1--4----,,,AI
BSWKR,Walker's Cay,BS,1--4----,,,AI
BSWTD,West End,BS,1--4----,26.6833,-78.9667,AI
BWDUK,Dukwi,BW,1----6--,-20.5833,26.5333,RL
BWMAH,Mahalapye,BW,123-----,-23.1,26.8333,RL
BYKLK,Kletsk,BY,1-3-----,53.05,26.6167,RL
BYKYC,Kostyukovichi,BY,123--6--,53.35,32.05,RL
BYPIK,Pinsk,BY,123-----,52.1167,26.0833,RL
BYRYA,Rechytsa,BY,123-----,52.35,30.4,RL
BYSNM,Slonim,BY,123--6--,53.1,25.3167,RL
BYVAW,Vawkavysk,BY,123-----,53.15,24.4333,RL
BZBAR,Barranco,BZ,1-------,16.0,-88.9167,RL
BZBZE,Belize City,BZ,1--45---,,,AI
BZBGK,Big Creek,BZ,1-34----,16.5167,-88.4,RL
BZCOL,Colinto,BZ,1-------,,,QQ
BZDGA,Dangriga,BZ,1-3-----,16.9667,-88.2167,RL
CAALK,Adlavik,CA,1-3-----,54.9167,-58.9167,AS
CAAGU,Aguathuna,CA,1-3-----,48.55,-58.7667,RL
CAAAL,Alert Bay,CA,1-------,,,AI
CAABL,Amberly,CA,1----6--,44.05,-81.7167,RQ
CAAMH,Amherstburg,CA,1-------,,,AS
CAANB,Andys Bay,CA,1-------,,,AS
CAANZ,Anzac,CA,123-----,56.4333,-111.0333,RL
CAAHL,Apple Hill,CA,1-------,,,RQ
CAARB,Arctic Bay,CA,1-34----,73.0333,-85.1667,AS
CANWP,Argentia,CA,1-34----,47.3,-54.0,AI
CAARI,Arichat,CA,1-3-----,45.5167,-61.0167,RL
CAARC,Arnold's Cove,CA,1-3-----,47.7667,-53.9833,AS
CAYEK,Arviat,CA,1--4----,61.1,-94.05,AI
CAASQ,Asquith,CA,1----6--,52.1167,-107.2167,RL
CAALV,Atholville,CA,123-----,47.9833,-66.7167,RL
CAAVO,Avondale,CA,1-3-----,47.4167,-53.2,AS
CAAVP,Avonport,CA,123-----,45.1,-64.25,RL
CABAD,Baddeck,CA,1-------,,,RQ
CABGT,Bagotville,CA,1-------,,,AC
CABCO,Baie Comeau,CA,1--4----,,,AS
CABVE,Baie Verte,CA,1-3-----,49.9167,-56.1833,AS
CABJO,Baie-Johan-Beetz,CA,1-34----,50.3,-62.8333,AS
CABLK,Baker Lake,CA,1-3-----,64.3167,-96.0333,RL
CABAA,Bala,CA,123--6--,45.0,-79.6,RL
CABDR,Bald Rock,CA,1-3-----,44.4667,-63.5667,RL
CABAM,Bamberton,CA,1-------,,,RQ
CABCT,Bancroft,CA,1-3-----,,,RQ
CANTR,Bantry,CA,1-------,50.4833,-111.7333,RL
CABAN,Barrington,CA,1-3-----,43.5667,-65.5667,RL
CABTH,Bath,CA,1-------,,,AS
CABAT,Bathurst,CA,1--4----,,,AS
CABBU,Bay Bulls,CA,1-3-----,47.3333,-52.8333,AS
CABYR,Bay Roberts,CA,1-3-----,47.5833,-53.3,AS
CABAY,Bayside (St Roberts),CA,1-------,,,AS
CABST,"Bayside, Charlotte",CA,1-3-----,45.1333,-67.1167,RL
CABPO,Beach Point,CA,1-3-----,46.0167,-62.4833,RL
CABCV,Beale Cove,CA,1-------,,,AS
CABEA,Beaver Cove,CA,123-----,50.5167,-126.8667,RL
CABEH,Beaver Harbour,CA,1-------,,,RQ
CABEC,BÃ©cancour,CA,1-------,46.3333,-72.4333,AS
CABDF,Bedford,CA,123--6--,44.7167,-63.6833,RL
CABLC,Bella Coola,CA,1-------,,,AS
CABEL,Belledune,CA,1-------,,,AS
CAEEK,Belleisle Creek,CA,1-------,,,RQ
CABLV,Belleville,CA,1-3-----,,,AS
CABLL,Beloeil,CA,123-----,,,AS
CABLD,Belwood,CA,1----6--,43.7667,-80.3333,RQ
CABFR,Beresford,CA,123-----,47.6833,-65.7,RL
CABLH,Blacks Harbour,CA,1-3-----,,,AS
CABSK,Blackstock,CA,1-3--6--,44.1,-78.7833,RQ
CABBY,Blind Bay,CA,1-------,,,AS
CABLR,Blind River,CA,1-------,,,RQ
CABBB,Blubber Bay,CA,1-------,,,AS
CABOB,Bobcaygeon,CA,1-3--6--,44.5333,-78.55,RL
CABOR,Borden,CA,123-----,46.25,-63.7,RL
CABWD,Botwood,CA,1-3-----,49.15,-55.3667,AS
CABUE,Bouctouche,CA,1-3-----,46.4667,-64.7167,RL
CABC2,Bow City,CA,1-3-----,50.4167,-112.2667,RL
CABNI,Bowen Island,CA,1-3-----,49.3667,-123.3333,RL
CABWV,Bowmanville,CA,1-------,,,AS
CABRD,Brentwood Bay,CA,1-3-----,48.5833,-123.45,RL
CABRW,Bridgewater,CA,1-------,,,RQ
CABRI,Britannia Beach,CA,1-------,,,RL
CABTT,Britt,CA,1-------,,,AS
CABKA,Brocket,CA,1-------,49.55,-113.7667,RQ
CABCK,Brockville,CA,1-------,,,AC
CABKN,Brooklyn,CA,1-------,,,RQ
CABRT,Broughton Is,CA,1--4----,,,AS
CABUA,Bull Arm,CA,1-------,47.8333,-53.8667,RL
CABUO,Burgeo,CA,1-3-----,47.6,-57.6333,RL
CABUI,Burin,CA,1-3-----,47.05,-55.1833,AC
CABUK,Burks Falls,CA,1-3--6--,45.6333,-79.45,RQ
CABRL,Burlington,CA,1-3-----,,,AS
CABUS,Burnside,CA,1-3-----,48.7,-53.8,AS
CABIN,Burrard Inlet,CA,1-------,49.3,-123.1833,RL
CABTF,Butterfly Bay,CA,1-------,,,AS
CAYCB,Cambridge Bay,CA,1-34----,69.1167,-105.0833,AI
CACAM,Campbell River,CA,1--4----,50.0167,-125.25,AS
CACBF,Campbellford,CA,123-----,44.3,-77.7833,RL
CACOM,Campbellton,CA,1-------,,,AC
CACPB,Campobello,CA,1-------,,,AS
CACPT,Canaport,CA,1-------,,,RQ
CACAH,Canso,CA,1-3-----,45.3333,-61.0,RL
CACAC,Cap-Chat,CA,1----6--,49.0833,-66.6833,RL
CACDO,Cape Dorset,CA,1--4----,,,AS
CACPY,Cape Ray,CA,123-----,47.6333,-59.3,RL
CACSI,Cap-St-Ignace,CA,1----6--,47.0333,-70.45,RL
CACAQ,Caraquet,CA,1-------,,,AS
CACBY,Carberry,CA,1-3--6--,49.8667,-99.35,RL
CACRB,Carbonear,CA,1-3-----,47.7333,-53.25,RL
CACDN,Cardinal,CA,1-------,,,AS
CACLT,Carleton,CA,1-------,,,RQ
CACMV,Carmanville,CA,1-3-----,49.3667,-54.2667,RL
CACAT,Catalina,CA,1-3-----,48.5167,-53.0833,AC
CACHR,Chandler,CA,12------,,,AS
CACIL,Change Islands,CA,1-3-----,49.6667,-54.4167,RL
CAPBQ,Channel-Port aux Basques,CA,1-3-----,47.5667,-59.15,AS
CASKI,Charlotte (Skidegate),CA,1-------,,,AS
CACHA,Charlottetown,CA,1--4----,46.2333,-63.1333,AS
CARRE,ChÃ¢teau-Richer,CA,1-3-----,46.9667,-71.0167,RL
CACHN,Chatham,CA,123-----,,,AS
CACHM,Chemainus,CA,1-------,,,AS
CACST,Chester,CA,1-------,,,RQ
CAYCS,Chesterfield Inlet,CA,1--4----,63.3333,-90.7,AI
CACTR,Chestermere,CA,1----6--,51.0333,-113.8167,RL
CACHT,ChÃ©ticamp,CA,1-3-----,46.6167,-61.0167,RL
CACHI,Chicoutimi,CA,1-------,,,AS
CACHV,Churchill,CA,1--4----,58.7667,-94.1833,AS
CACLE,Clarenville,CA,1-3-----,48.15,-53.9667,AS
CACLC,Clarke City,CA,1-------,,,AS
CACLH,Clark's Harbour,CA,1-3-----,43.45,-65.6333,AS
CACSN,Clarkson,CA,1-------,,,AS
CACWT,Clearwater,CA,123-----,51.65,-120.0333,RL
CACVA,Cleveland,CA,1-3--6--,44.65,-64.0,RL
CALLF,Clifford,CA,1-------,43.9667,-80.9667,RL
CACLR,Clyde River,CA,1--4----,,,AS
